user_name,status,datetime
Senator Pat Roberts,"Happy birthday, @USArmy! Thank you for defending our nation and protecting our freedoms for 245 years. https://t.co/KuD5yRz5OU",2020-06-14 07:01:43.318341
John Kennedy,"This Flag Day reminds us that we're striving for a more perfect union together. The Stars and Stripes deepen our reverence for the life, liberty, and dignity of every single American—and our commitment to justice for all. https://t.co/JdJxFIBjS3",2020-06-14 07:04:00.131984
John Kennedy,"This #FlagDay reminds us that we're striving for a more perfect union together. The Stars and Stripes deepen our reverence for the life, liberty, and dignity of every single American—and our commitment to justice for all. https://t.co/DfU6sCxfY9",2020-06-14 07:05:45.091569
Team Cornyn,"Happy Birthday to the 45th President of the United States, @RealDonaldTrump! https://t.co/4Sv2GyTmmt",2020-06-14 07:28:06.967139
Shelley Moore Capito,"Happy birthday, @realDonaldTrump! https://t.co/jMQtRYP6jA",2020-06-14 07:31:05.541050
Senator Pat Toomey,"#FlagDay's origin can be traced back to Pennsylvania. As the story goes, William T. Kerr of Allegheny County first came up with the idea for Flag Day. In fact, he was so integral in its inception that when President Truman made it a national holiday, Kerr was there. https://t.co/6Khk2B5641",2020-06-14 08:02:05.549621
Senator Mike Rounds,"Happy birthday to our granddaughter Natalie, who turns 5 today! https://t.co/SOFnepIjAY",2020-06-14 08:37:05.587310
Senator Roy Blunt,Wishing the men &amp; women who serve at @FortLeonardWood a very happy 245th birthday! #ArmyBday @USArmy https://t.co/FvzWuUombT,2020-06-14 08:51:28.420125
Sen. Jim Inhofe,"Happy Birthday, Mr. President! 

@POTUS @realDonaldTrump https://t.co/0VGUwSz5cz",2020-06-14 09:00:05.458101
Senator Jerry Moran,"Since 1775, the men and women of our @USArmy have answered the call to serve to protect and defend our country, and they have done so with honor. To the millions of soldiers, DA civilians &amp; veterans celebrating today, I wish you and the Army a very Happy 245th Birthday. #ArmyBDay https://t.co/xSZgNctlem",2020-06-14 09:31:32.591003
Martha McSally,"DYK @GrandCanyonNPS was the 2nd most visited national park in America in 2019? Our Great American Outdoors Act will help preserve this world wonder &amp; reignite our local economies.
https://t.co/6tbn9GNhWt",2020-06-14 09:33:05.462152
Senator Mike Rounds,"Happy Birthday, @POTUS @realDonaldTrump! Looking forward to celebrating America’s birthday with you at Mount Rushmore!",2020-06-14 09:35:24.830499
Marco Rubio,"you then become haughty of heart &amp; forget the LORD,your God, who brought you out of the land of Egypt,that house of slavery;he guided you through the vast &amp; terrible wilderness with its saraph serpents &amp; scorpions,its parched &amp; waterless ground
Deuteronomy 8:14-15",2020-06-14 09:44:29.476612
Cory Gardner,"Happy 245th Birthday, @USArmy! I’m grateful for the brave men and women who have served over the years and everything they do to keep our country and our freedoms safe. #ArmyBday https://t.co/5LpxGwPiQc",2020-06-14 09:46:03.609228
Senator Mike Crapo,Happy 245th Birthday to the @USArmy! Thank you for your sacrifice and dedication! #ArmyStrong #245ArmyBirthday https://t.co/fBoB3Ogbs3,2020-06-14 09:49:14.309934
Shelley Moore Capito,"Decades later, we still honor this flag and all that it represents. On #FlagDay, we thank those who sacrificed defending it. 🇺🇸",2020-06-14 09:50:30.055807
Senator John Hoeven,"Every day, but especially today on #FlagDay, we fly our American flag with pride as we honor Old Glory and the freedom &amp; independence it symbolizes. https://t.co/E4JxyPYMxD",2020-06-14 09:52:25.461227
Sen. Marsha Blackburn,"On Flag Day, we commemorate the stars and stripes and all they stand for. It’s our symbol of unity, and it’s what has and what will bind every American together. https://t.co/ia2Lh1DitI",2020-06-14 09:57:30.412426
Marco Rubio,"Good example of what media “bias” looks like. You pick bits of information that further your narrative,ignore those that don’t &amp; avoid nuance.
https://t.co/jALLyL2AcJ
What I have actually repeatedly warned about is violent agitators from various anti-govt/anti-police movements https://t.co/TbPwrpzFbk",2020-06-14 10:06:48.492794
Richard Shelby,"Today we celebrate the 245th birthday of the @USArmy – the oldest branch in the US military, established in 1775. I would like to thank the brave soldiers in the #USArmy for protecting our freedom &amp; defending our nation in times of need. #ArmyBirthday #ServeWithHonor",2020-06-14 10:09:25.475179
Senator Mike Crapo,Happy Birthday @POTUS! https://t.co/tdhZCOOU16,2020-06-14 10:13:16.289026
Steve Daines,Happy birthday @realDonaldTrump! Thank you for ALWAYS putting America First! 🇺🇸 #MAGA https://t.co/zByOM2S8TD,2020-06-14 10:20:13.676199
ChuckGrassley,I put up new flag for Flag Day (Jun14) at the Grassley farm. God bless America 🇺🇸 https://t.co/vkK8wHr3pz,2020-06-14 10:22:17.377892
Marco Rubio,"Those who say extremists aren’t behind the violence,looting &amp; vandalism should tell us who they believe is behind it. 

Are they claiming the legitimate protestors are to blame?

Fact is the legitimate organizers have gone to great lengths to stop agitators from hijacking protest",2020-06-14 10:23:34.488585
Tim Scott,The recent police shooting in Atlanta shows the clear need for more training for when officers make split-second decisions. That's why the de-escalation and use of force training aspects of the #JUSTICEAct are so critical. https://t.co/uhJzuTQ3tk,2020-06-14 10:25:57.341730
Senator Todd Young,Indianapolis has been awarded $7.2 million in additional federal funding from @HUDgov to provide additional assistance to those experiencing homelessness as the city rebuilds in the wake of #coronavirus. https://t.co/DklIduVHc2,2020-06-14 10:30:05.867697
Tim Scott,"I've been working on police reform legislation for years. Now is the time to pass a solution. The #JUSTICEAct addresses officer misconduct, brings improved training and tactics, and collects critical information on incidents relating to bodily injury and death. https://t.co/j4EotrqiBV",2020-06-14 10:40:05.517849
Martha McSally,Happy #FlagDay! Today we celebrate the flag as a symbol of our freedom and remember the many who died fighting it. 🇺🇸 https://t.co/VdxpH32H4b,2020-06-14 10:41:12.493645
Tim Scott,"The chokehold is a policy whose time has come and gone.
The #JUSTICEAct’s focus on the de-escalation of force is imperative. https://t.co/uSxqILmkGK",2020-06-14 10:50:05.465926
"Bill Cassidy, M.D.","""Be kind to one another, tenderhearted, forgiving one another, as God in Christ forgave you. ""  - Ephesians 4:32",2020-06-14 10:56:05.429760
Shelley Moore Capito,"ICYMI: Earlier this week, I wrote an op-ed highlighting several West Virginians who have made a difference in their communities during #coronavirus. https://t.co/Ui82wMksaf",2020-06-14 11:15:07.401862
ChuckGrassley,Happy birthday Pres @realDonaldTrump,2020-06-14 11:17:05.572458
Senator Kelly Loeffler,"Happy Birthday, @realDonaldTrump!",2020-06-14 11:42:54.088316
Sen. Marsha Blackburn,"The Stars and Stripes of the American flag are one of the most powerful symbols on the planet. 🇺🇸 
 
https://t.co/yDMsFRNcBd",2020-06-14 11:46:51.049375
Cindy Hyde-Smith,"""Remember the wonders he has done, his miracles, and the judgments he pronounced,"" - 1 Chronicles 16:12",2020-06-14 12:00:06.077355
Ted Cruz,Important read. Israel is an ally and a sovereign nation entitled to make this decision for itself. Far too many in America have been presumptuous in trying to dictate the terms of peace to them. https://t.co/p2mWqYCXcr,2020-06-14 12:03:34.091898
